doc_id,doc_type,split,author_id,lang,genre,primary_genre,source,token_length,content,content_len_chars,x,y
mix_006812,query,train,cd3bea8cee1fa3d68d209d4e23593c0605277b3142a6f54b92a12d72ea8a8ab1,ar,social_media/sports,social_media,exorde,54,جيرونا هوفنهايم غو أهيد إيغلز تولوز فيليم الثاني ▬إيهٮرب▬ ← CNU3074,67,-3.3576078,13.412447
mix_005860,query,train,92ac7db9b87bb5a2f882a14093ee6f8cf33510733cd10453f9f9b1f5301cc459,ar,social_media/entertainment,social_media,exorde,61,باير ليفركوزن هامبورغ ليتشي ڪۆد خضم مباشر ▬امريكان▬ايجل▬ايفل▬ ← MT3R,68,-57.256767,18.634
mix_001629,query,train,39dd70017512224461e798fe9d338113c352d61ed34233d2a55c584ca8670290,ar,news,news,babel_briefings,101,قال «بنك أوف أمريكا» إن المستثمرين عززوا مشترياتهم من الأصول العالية المخاطر مثل الأسهم الأسبوع الماضي بينما سحبوا المال من الذهب الذي يُعتبر ملاذاً,148,0.6993178,38.96419
mix_005192,query,train,6cbd5abef4b8da478a0d0a1bcac56580bbfb2de3843e0b7472553f76fea93f57,ar,social_media/entertainment,social_media,exorde,65,بورتو هيرتا برلين سانت إتيان ڪۆد خضم مباشر ▬براندز▬فور▬ليس▬لس▬براندس▬ ← BF51,76,-57.65499,14.754661
mix_004772,candidate,train,533f17ab76085f2c91f547e613cc25d8b6ab9a4acb1ce3c14c82829a3481a626,ar,social_media/finance,social_media,exorde,127,"مع مبادرة طلعتنا اليوم، كل فاتورة تساوي فعل خير! شارك في المبادرة وزيّن يومك بتقديم الدعم لمن هم في حاجة .. جمعية جود"" الموقع la paniere الخبر الشمالية https://maps.app.goo.gl/jkmoXyv4QLJWKzdg6… &amp;salad",205,3.893062,39.24488
mix_007083,query,train,dcb10551df28f73e4dcc86601ea998646a8bfedc5f4e50f0145f07d172a5ab35,ar,social_media/sports,social_media,exorde,71,الاتفاق أفيس أوساسونا ليغانيس مانشستر سيتي ڪۆد خضم مباشر ◐اير◐الو◐ايرالو◐ايرلو◐ ← CU15,86,-54.865147,21.927244
mix_003488,query,train,0b0d4d9b97a9925d4b74163636271da9a15e6e758049247731be52d248e254b2,ar,social_media/investing,social_media,exorde,47,شركة إيلون ماسك الناشئة xAI: تجمع 6 مليارات دولار من تمويل بالأسهم.,67,-7.5293307,26.300156
mix_000439,candidate,train,5e5c813619b332308dca6ffb738c7ba40c48b893e42c2e13a6f5a8916adab6b9,ar,poetry,poetry,arabic_poetry,74,إذا غدت سعد على شبيبها على فتاها وعلى خطيبها من مطلع الشمس إلى مغيبها عجبتَ من كثرتها وطيبها,92,-14.198827,40.61685
mix_003773,candidate,train,19d21fb2b96b890bc1009168326697eb3de11405c1dfb208d08a16297976c38a,ar,social_media/cryptocurrency,social_media,exorde,56,احتجاجات واسعة في جورجيا ضد تعليق محادثات الانضمام للاتحاد الأوروبي https://mc-d.co/24Iw.x,90,26.094627,-8.075686
mix_004446,query,train,3f82576691896d6b44f74df712837b42bd803454dafc69dba0ca19f53508b757,ar,social_media/health,social_media,exorde,110,مشاركة الزميل د. منصور العتيبي في المؤتمر السنوي الثامن للجمعية السعودية للعمود الفقري بالرياض بعنوان Research Designs for Improving Health Outcomes in Patients with Neck and Back Injuries in Saudi Arabia: Facilitators and Challenges @SaudiSpine @AlotaibiM58,258,-9.397092,27.287006
mix_000337,candidate,train,46eb08c721a769826b2b5df83d8ef934a9102ccdf07b1241440cf3c7a79996fd,ar,poetry,poetry,arabic_poetry,144,قالوا تَرَفَّضتَ قُلتُ كَلّا ما الرَفضُ ديني وَلا اِعتِقادي لَكِن تَوَلَّيتُ غَيرَ شَكٍّ خَيرَ إِمامٍ وَخَيرَ هادي إِن كانَ حُبُّ الوَليِّ رَفضاً فَإِنَّ رَفضي إِلى العِبادِ,173,-28.21749,28.300343
